Source=C#
Scan	Interpolated_NET	Aligned_NET
828	0.11202	0.11202
829	0.11212	0.11212
830	0.11221	0.11221
831	0.11231	0.11231
832	0.1124	0.1124
833	0.1125	0.1125
834	0.1126	0.1126
835	0.11269	0.11269
836	0.11279	0.11279
837	0.11288	0.11288
838	0.11298	0.11298
839	0.11307	0.11307
840	0.11317	0.11317
841	0.11326	0.11326
842	0.11336	0.11336
843	0.11346	0.11346
844	0.11355	0.11355
845	0.11365	0.11365
846	0.11374	0.11374
847	0.11384	0.11384
848	0.11393	0.11393
849	0.11403	0.11403
850	0.11413	0.11413
851	0.11422	0.11422
852	0.11432	0.11432
853	0.11441	0.11441
854	0.11451	0.11451
855	0.1146	0.1146
856	0.1147	0.1147
857	0.1148	0.1148
858	0.11489	0.11489
859	0.11499	0.11499
860	0.11508	0.11508
861	0.11518	0.11518
862	0.11527	0.11527
863	0.11537	0.11537
864	0.11546	0.11546
865	0.11556	0.11556
866	0.11566	0.11566
867	0.11575	0.11575
868	0.11585	0.11585
869	0.11594	0.11594
870	0.11604	0.11604
871	0.11613	0.11613
872	0.11623	0.11623
873	0.11633	0.11633
874	0.11642	0.11642
875	0.11652	0.11652
876	0.11661	0.11661
877	0.11671	0.11671
878	0.1168	0.1168
879	0.1169	0.1169
880	0.11699	0.11699
881	0.11709	0.11709
882	0.11719	0.11719
883	0.11728	0.11728
884	0.11738	0.11738
885	0.11747	0.11747
886	0.11757	0.11757
887	0.11766	0.11766
888	0.11776	0.11776
889	0.11786	0.11786
890	0.11795	0.11795
891	0.11805	0.11805
892	0.11814	0.11814
893	0.11824	0.11824
894	0.11833	0.11833
895	0.11843	0.11843
896	0.11853	0.11853
897	0.11862	0.11862
898	0.11872	0.11872
899	0.11881	0.11881
900	0.11891	0.11891
901	0.119	0.119
902	0.1191	0.1191
903	0.11919	0.11919
904	0.11929	0.11929
905	0.11939	0.11939
906	0.11948	0.11948
907	0.11958	0.11958
908	0.11967	0.11967
909	0.11977	0.11977
910	0.11986	0.11986
911	0.11996	0.11996
912	0.12006	0.12006
913	0.12015	0.12015
914	0.12025	0.12025
915	0.12034	0.12034
916	0.12044	0.12044
917	0.12053	0.12053
