Source=C#
UMCIndex	UMCNET	AlignedMass
1159	0.25755	559.8
1160	0.14787	560.31
1161	0.2755	561.77
1162	0.16454	561.78
1163	0.1852	562.79
1164	0.22803	562.94
1165	0.15274	563.31
1166	0.1678	563.31
1167	0.30665	563.33
1168	0.21875	563.35
1169	0.27815	563.35
1170	0.29078	563.79
1171	0.22523	563.8
1172	0.29099	564.28
1173	0.23804	564.33
1174	0.45977	564.82
1175	0.38195	564.95
1176	0.29453	565.31
1177	0.19255	566.27
1178	0.31886	566.78
1179	0.30995	567.78
1180	0.31075	567.94
1181	0.31297	568.27
1182	0.25942	568.8
1183	0.30655	568.95
1184	0.25231	569.24
1185	0.31699	569.95
1186	0.29489	570.27
1187	0.1368	570.28
1188	0.3379	570.32
1189	0.3178	570.78
1190	0.35789	571.34
1191	0.26355	571.37
1192	0.21693	571.8
1193	0.29497	571.81
1194	0.20352	572.39
1195	0.28606	572.75
1196	0.31821	572.8
1197	0.31699	573.3
1198	0.18596	573.35
1199	0.2862	573.75
1200	0.31886	573.81
1201	0.4703	573.99
1202	0.28883	574.24
1203	0.25857	574.26
1204	0.23482	574.35
1205	0.2956	574.77
1206	0.31596	574.82
1207	0.35678	575.3
1208	0.29503	575.78
1209	0.25998	576.29
1210	0.17264	576.31
1211	0.38431	576.32
1212	0.1588	576.33
1213	0.22803	576.34
1214	0.24485	576.77
1215	0.24135	577.77
1216	0.20924	578.28
1217	0.24686	578.31
1218	0.25526	578.32
1219	0.36512	578.32
1220	0.20663	580.76
1221	0.28896	580.78
1222	0.40692	580.81
1223	0.23004	580.93
1224	0.29162	581.28
1225	0.33877	581.29
1226	0.31789	581.3
1227	0.23894	581.32
1228	0.27903	581.77
1229	0.23744	582.27
1230	0.24247	583.29
1231	0.16859	583.37
1232	0.14343	584.33
1233	0.21435	584.33
1234	0.20947	584.36
1235	0.15356	584.75
1236	0.49412	585.37
1237	0.40606	585.37
1238	0.45487	585.67
